TINE/DOOCS address, file value
PETRA/Cms.MagnetPs/PDA_OR_77/Strom.Soll, 277.2783
PETRA/Cms.MagnetPs/PKPDD_OR_87/Strom.Soll, 0.0
PETRA/Cms.MagnetPs/PDD_OR_87/Strom.Soll, 278.46964
PETRA/Cms.MagnetPs/PDE_OR_93/Strom.Soll, 397.76422
PETRA/Cms.MagnetPs/PKPDA_OR_99/Strom.Soll, 0.0
PETRA/Cms.MagnetPs/PDA_OR_99/Strom.Soll, 380.4676
PETRA/Cms.MagnetPs/PDC_NOR_53/Strom.Soll, -2.196011
PETRA/Cms.MagnetPs/PDC_NOR_99/Strom.Soll, -2.1045725
PETRA/Cms.MagnetPs/PDC_OL_143/Strom.Soll, -2.1009104
PETRA/Cms.MagnetPs/PDC_OL_97/Strom.Soll, -2.0356789
PETRA/Cms.MagnetPs/PDC_OL_74/Strom.Soll, -2.012619
PETRA/Cms.MagnetPs/S1/Strom.Soll, 477.82703
PETRA/Cms.MagnetPs/S2/Strom.Soll, 223.68341
PETRA/Cms.MagnetPs/S3/Strom.Soll, 477.9735
PETRA/Cms.MagnetPs/S4/Strom.Soll, 223.24602
PETRA/Cms.MagnetPs/Q1K/Strom.Soll, 215.04965
PETRA/Cms.MagnetPs/Q0K/Strom.Soll, 146.17212
PETRA/Cms.MagnetPs/Q6N/Strom.Soll, 439.8465
PETRA/Cms.MagnetPs/QD/Strom.Soll, 448.8413
PETRA/Cms.MagnetPs/QF/Strom.Soll, 449.48218
PETRA/Cms.MagnetPs/QK1/Strom.Soll, 408.0433
PETRA/Cms.MagnetPs/Q5K/Strom.Soll, 315.9022
PETRA/Cms.MagnetPs/Q7N/Strom.Soll, 293.71487
PETRA/Cms.MagnetPs/Q9N/Strom.Soll, 276.45303
PETRA/Cms.MagnetPs/Q0B/Strom.Soll, 317.89493
PETRA/Cms.MagnetPs/Q1/Strom.Soll, 414.33414
PETRA/Cms.MagnetPs/Q2B/Strom.Soll, 477.0021
PETRA/Cms.MagnetPs/Q3/Strom.Soll, 411.62762
